cik,tick,compNameE,,,,
3116,AKRN,AKORN INC,0000003116,"""0000003116"",",3116,0
3153,ALPPRN,ALABAMA POWER CO,0000003153,"""0000003153"",",#N/A,1
5768,ASEI,"AMERICAN SCIENCE & ENGINEERING, INC.",0000005768,"""0000005768"",",#N/A,0
6732,ANTL,"NAC GLOBAL TECHNOLOGIES, INC.",0000006732,"""0000006732"",",6732,0
7039,ARSD,TRECORA RESOURCES,0000007039,"""0000007039"",",7039,0
7789,ASBC,ASSOCIATED BANC-CORP,0000007789,"""0000007789"",",#N/A,0
10254,BSIC,EARTHSTONE ENERGY INC,0000010254,"""0000010254"",",10254,0
11544,BER,BERKLEY W R CORP,0000011544,"""0000011544"",",11544,0
13573,BWL,BOWL AMERICA INC,0000013573,"""0000013573"",",13573,0
14693,BFB,BROWN FORMAN CORP,0000014693,"""0000014693"",",#N/A,0
14707,BWS,CALERES INC,0000014707,"""0000014707"",",#N/A,0
17485,LBMH,"LIBERATOR MEDICAL HOLDINGS, INC.",0000017485,"""0000017485"",",#N/A,0
18654,CIP,Ameren Illinois Co,0000018654,"""0000018654"",",#N/A,0
25475,CRDA,CRAWFORD & CO,0000025475,"""0000025475"",",25475,0
32166,ELRC,ELECTRO RENT CORP,0000032166,"""0000032166"",",#N/A,0
32339,ELFNX,ELFUN TRUSTS,0000032339,"""0000032339"",",#N/A,0
32598,EGX,ENGEX INC,0000032598,"""0000032598"",",#N/A,0
34956,OXBT,"TENAX THERAPEUTICS, INC.",0000034956,"""0000034956"",",34956,0
37008,FUR,Winthrop Realty Trust,0000037008,"""0000037008"",",#N/A,0
38984,SGGH,"Real Industry, Inc.",0000038984,"""0000038984"",",38984,0
40211,GMT,GATX CORP,0000040211,"""0000040211"",",40211,0
40888,GY,"AEROJET ROCKETDYNE HOLDINGS, INC.",0000040888,"""0000040888"",",40888,0
41091,GPEPRA,GEORGIA POWER CO,0000041091,"""0000041091"",",#N/A,1
42228,GLDC,GOLDEN ENTERPRISES INC,0000042228,"""0000042228"",",#N/A,0
48898,HUBA,HUBBELL INC,0000048898,"""0000048898"",",48898,0
54441,FRM,FURMANITE CORP,0000054441,"""0000054441"",",#N/A,0
55135,KELYAKEL,KELLY SERVICES INC,0000055135,"""0000055135"",",55135,0
55772,KBALB,KIMBALL INTERNATIONAL INC,0000055772,"""0000055772"",",55772,0
64040,MHP,MCGRAW HILL FINANCIAL INC,0000064040,"""0000064040"",",64040,0
64472,GNCI,GENCOR INDUSTRIES INC,0000064472,"""0000064472"",",64472,0
65270,METH,METHODE ELECTRONICS INC,0000065270,"""0000065270"",",65270,0
65312,DCU,"EnviroStar, Inc.",0000065312,"""0000065312"",",65312,0
66649,MGN,MINES MANAGEMENT INC,0000066649,"""0000066649"",",#N/A,0
66904,MPF,MISSISSIPPI POWER CO,0000066904,"""0000066904"",",#N/A,0
67887,MOGA,MOOG INC.,0000067887,"""0000067887"",",#N/A,0
72444,BOTA,"Aviragen Therapeutics, Inc.",0000072444,"""0000072444"",",72444,0
72741,NU,EVERSOURCE ENERGY,0000072741,"""0000072741"",",#N/A,0
73088,NWEC,NORTHWESTERN CORP,0000073088,"""0000073088"",",73088,0
75439,MCDG,"Medite Cancer Diagnostics, Inc.",0000075439,"""0000075439"",",75439,0
77159,PVA,PENN VIRGINIA CORP,0000077159,"""0000077159"",",#N/A,0
78460,PNY,PIEDMONT NATURAL GAS CO INC,0000078460,"""0000078460"",",#N/A,0
81318,PDO,"Yuma Energy, Inc.",0000081318,"""0000081318"",",81318,0
83402,REXI,"RESOURCE AMERICA, INC.",0000083402,"""0000083402"",",#N/A,0
88205,SPW,SPX CORP,0000088205,"""0000088205"",",88205,0
90045,PTG,PARAGON TECHNOLOGIES INC,0000090045,"""0000090045"",",#N/A,0
92103,SCE,SOUTHERN CALIFORNIA EDISON CO,0000092103,"""0000092103"",",#N/A,0
92108,SOCG,SOUTHERN CALIFORNIA GAS CO,0000092108,"""0000092108"",",#N/A,0
93859,SNS,BIGLARI HOLDINGS INC.,0000093859,"""0000093859"",",93859,0
95052,RDEN,ELIZABETH ARDEN INC,0000095052,"""0000095052"",",#N/A,0
97098,BCCXX,BLACKROCK LIQUIDITY FUNDS,0000097098,"""0000097098"",",#N/A,0
97196,AMIC,AMERICAN INDEPENDENCE CORP,0000097196,"""0000097196"",",#N/A,0
100826,UEP,UNION ELECTRIC CO,0000100826,"""0000100826"",",#N/A,0
104889,WPO,Graham Holdings Co,0000104889,"""0000104889"",",104889,0
106618,WXCP,HANDY & HARMAN LTD.,0000106618,"""0000106618"",",106618,0
215419,CKP,CHECKPOINT SYSTEMS INC,0000215419,"""0000215419"",",#N/A,0
225263,NEWP,NEWPORT CORP,0000225263,"""0000225263"",",#N/A,0
276720,PYCO,PURE CYCLE CORP,0000276720,"""0000276720"",",276720,0
278041,ISH,INTERNATIONAL SHIPHOLDING CORP,0000278041,"""0000278041"",",#N/A,0
278165,LRMK,"Quest Solution, Inc.",0000278165,"""0000278165"",",278165,0
314203,USGL,McEwen Mining Inc.,0000314203,"""0000314203"",",314203,0
314650,JNSXX,EDWARD JONES MONEY MARKET FUND,0000314650,"""0000314650"",",#N/A,0
315293,AOC,Aon plc,0000315293,"""0000315293"",",315293,0
316206,HOT,"STARWOOD HOTEL & RESORTS WORLDWIDE, INC",0000316206,"""0000316206"",",#N/A,0
317889,BLVT,"Bulova Technologies Group, Inc.",0000317889,"""0000317889"",",317889,0
318996,KEG,KEY ENERGY SERVICES INC,0000318996,"""0000318996"",",318996,0
320017,NBS,"Caladrius Biosciences, Inc.",0000320017,"""0000320017"",",320017,0
320575,PDC,PIONEER ENERGY SERVICES CORP,0000320575,"""0000320575"",",320575,0
351601,RJLDX,RUSSELL INVESTMENT CO,0000351601,"""0000351601"",",#N/A,0
351817,SFY,SWIFT ENERGY CO,0000351817,"""0000351817"",",351817,0
352363,FNP,Kate Spade & Co,0000352363,"""0000352363"",",352363,0
352998,IG,"Teligent, Inc.",0000352998,"""0000352998"",",352998,0
353020,INSU,Aegion Corp,0000353020,"""0000353020"",",#N/A,0
354869,FMER,FIRSTMERIT CORP /OH/,0000354869,"""0000354869"",",#N/A,0
355999,USTR,ESSENDANT INC,0000355999,"""0000355999"",",355999,0
356590,TTII,"TREE TOP INDUSTRIES, INC.",0000356590,"""0000356590"",",356590,0
356682,CSIXX,CALVERT SOCIAL INVESTMENT FUND,0000356682,"""0000356682"",",#N/A,0
356870,IDGG,"ZONZIA MEDIA, INC.",0000356870,"""0000356870"",",356870,0
357020,LTXX,Xcerra Corp,0000357020,"""0000357020"",",357020,0
701374,PKS,Six Flags Entertainment Corp,0000701374,"""0000701374"",",701374,0
701817,SITXX,SEI TAX EXEMPT TRUST,0000701817,"""0000701817"",",#N/A,0
701985,LTD,"L Brands, Inc.",0000701985,"""0000701985"",",#N/A,0
704159,PLCC,VBI VACCINES INC.,0000704159,"""0000704159"",",704159,0
704366,MAMM,"Elite Data Services, Inc.",0000704366,"""0000704366"",",704366,0
707511,RGN,REGENERX BIOPHARMACEUTICALS INC,0000707511,"""0000707511"",",707511,0
712034,ADB,ACCO BRANDS Corp,0000712034,"""0000712034"",",712034,0
712771,CNBC,"ConnectOne Bancorp, Inc.",0000712771,"""0000712771"",",#N/A,0
714284,SAUP,SORL Auto Parts Inc,0000714284,"""0000714284"",",714284,0
714530,NBBC,NEWBRIDGE BANCORP,0000714530,"""0000714530"",",#N/A,0
715446,COPY,ITUS Corp,0000715446,"""0000715446"",",715446,0
717806,USBI,UNITED SECURITY BANCSHARES INC,0000717806,"""0000717806"",",717806,0
718332,PZZI,"RAVE RESTAURANT GROUP, INC.",0000718332,"""0000718332"",",718332,0
723533,EXGP,Allied Ventures Holdings Corp.,0000723533,"""0000723533"",",723533,0
725876,VGGL,Viggle Inc.,0000725876,"""0000725876"",",725876,0
726513,TRB,TRIBUNE MEDIA CO,0000726513,"""0000726513"",",726513,0
727634,CICI,iSign Solutions Inc.,0000727634,"""0000727634"",",#N/A,0
730349,TOF,TOFUTTI BRANDS INC,0000730349,"""0000730349"",",730349,0
737207,NSTK,"Marina Biotech, Inc.",0000737207,"""0000737207"",",737207,0
738214,AEBF,"AEMETIS, INC",0000738214,"""0000738214"",",738214,0
744218,AVAN,"Celldex Therapeutics, Inc.",0000744218,"""0000744218"",",744218,0
746210,GLOWE,"GLOWPOINT, INC.",0000746210,"""0000746210"",",746210,0
748268,BBLF,EnergyTEK Corp.,0000748268,"""0000748268"",",748268,0
751652,STR,QUESTAR CORP,0000751652,"""0000751652"",",#N/A,0
754673,SUBK,SUFFOLK BANCORP,0000754673,"""0000754673"",",754673,0
764038,SCBT,SOUTH STATE Corp,0000764038,"""0000764038"",",764038,0
767884,CERE,"Ceres, Inc.",0000767884,"""0000767884"",",#N/A,0
771999,DMC,DOCUMENT SECURITY SYSTEMS INC,0000771999,"""0000771999"",",771999,0
772897,HTCH,HUTCHINSON TECHNOLOGY INC,0000772897,"""0000772897"",",#N/A,0
776008,STSI,"ROCK CREEK PHARMACEUTICALS, INC.",0000776008,"""0000776008"",",776008,0
781902,WTEK,INTERNATIONAL BALER CORP,0000781902,"""0000781902"",",781902,0
785557,TSTF,DLH Holdings Corp.,0000785557,"""0000785557"",",785557,0
787441,MCSEX,MAINSTAY FUNDS,0000787441,"""0000787441"",",#N/A,0
790070,EMC,EMC CORP,0000790070,"""0000790070"",",#N/A,0
790526,PMDX,"RadNet, Inc.",0000790526,"""0000790526"",",790526,0
792394,VOLMX,VOLUMETRIC FUND INC,0000792394,"""0000792394"",",#N/A,0
794367,FD,"Macy's, Inc.",0000794367,"""0000794367"",",794367,0
798244,MCCXX,MFS SERIES TRUST I,0000798244,"""0000798244"",",#N/A,0
801898,JOYG,JOY GLOBAL INC,0000801898,"""0000801898"",",801898,0
804212,ARG,AIRGAS INC,0000804212,"""0000804212"",",#N/A,0
805264,AXLL,AXIALL CORP/DE/,0000805264,"""0000805264"",",#N/A,0
805928,LECT,"AxoGen, Inc.",0000805928,"""0000805928"",",805928,0
806888,RBM,RESPONSE BIOMEDICAL CORP,0000806888,"""0000806888"",",806888,0
807884,CSH,CASH AMERICA INTERNATIONAL INC,0000807884,"""0000807884"",",#N/A,0
812796,SNGX,"SOLIGENIX, INC.",0000812796,"""0000812796"",",#N/A,0
813298,CMRG,"DESTINATION XL GROUP, INC.",0000813298,"""0000813298"",",813298,0
814926,CHDO,"CAPSTONE COMPANIES, INC.",0000814926,"""0000814926"",",814926,0
815093,ANGN,MGC DIAGNOSTICS Corp,0000815093,"""0000815093"",",815093,0
818033,APPA,"HERON THERAPEUTICS, INC. /DE/",0000818033,"""0000818033"",",818033,0
819926,MLEX,"Cleantech Solutions International, Inc.,",0000819926,"""0000819926"",",819926,0
821483,DPTR,"PAR PACIFIC HOLDINGS, INC.",0000821483,"""0000821483"",",821483,0
821995,CBRX,JUNIPER PHARMACEUTICALS INC,0000821995,"""0000821995"",",821995,0
822370,CNSO,"MYnd Analytics, Inc.",0000822370,"""0000822370"",",822370,0
822997,KAIH,INTERNATIONAL PACKAGING & LOGISTICS GROUP INC.,0000822997,"""0000822997"",",822997,0
825759,TCUEX,TRUST FOR CREDIT UNIONS,0000825759,"""0000825759"",",#N/A,0
825788,DIVALL,DIVALL INSURED INCOME PROPERTIES 2 LIMITED PARTNERSHIP,0000825788,"""0000825788"",",#N/A,1
828878,RHRS,"GREAT CHINA INTERNATIONAL HOLDINGS, INC.",0000828878,"""0000828878"",",828878,0
829323,THK,"Inuvo, Inc.",0000829323,"""0000829323"",",829323,0
830616,SCCI,"SCI Engineered Materials, Inc.",0000830616,"""0000830616"",",830616,0
830748,PCE,"PACIFIC OFFICE PROPERTIES TRUST, INC.",0000830748,"""0000830748"",",830748,0
830916,MFLX,MULTI FINELINE ELECTRONIX INC,0000830916,"""0000830916"",",#N/A,0
832480,UTGI,UTG INC,0000832480,"""0000832480"",",832480,0
832489,DNTK,"GeoVax Labs, Inc.",0000832489,"""0000832489"",",832489,0
833251,NPI,NUVEEN PREMIUM INCOME MUNICIPAL FUND INC,0000833251,"""0000833251"",",#N/A,0
833444,TYC,TYCO INTERNATIONAL plc,0000833444,"""0000833444"",",#N/A,0
836267,TFC,SCM Trust,0000836267,"""0000836267"",",#N/A,0
844059,PATR,"FRP HOLDINGS, INC.",0000844059,"""0000844059"",",844059,0
844143,JOEZ,Differential Brands Group Inc.,0000844143,"""0000844143"",",844143,0
844856,VPCOR,VAPOR CORP.,0000844856,"""0000844856"",",844856,0
845385,RONE,PRINCETON CAPITAL CORP,0000845385,"""0000845385"",",845385,0
846377,WKLI,"SOURCE FINANCIAL, INC.",0000846377,"""0000846377"",",846377,0
846931,NHTB,Lake Sunapee Bank Group,0000846931,"""0000846931"",",846931,0
849145,COBT,Heritage Global Inc.,0000849145,"""0000849145"",",849145,0
849213,PCL,PLUM CREEK TIMBER CO INC,0000849213,"""0000849213"",",#N/A,0
849998,NPP,NUVEEN PERFORMANCE PLUS MUNICIPAL FUND INC,0000849998,"""0000849998"",",#N/A,0
853180,VPR,Invesco Senior Loan Fund,0000853180,"""0000853180"",",#N/A,0
857949,CGAG,"China Green Agriculture, Inc.",0000857949,"""0000857949"",",857949,0
858655,HYNI,HAYNES INTERNATIONAL INC,0000858655,"""0000858655"",",858655,0
860188,NMO,NUVEEN MUNICIPAL MARKET OPPORTUNITY FUND INC,0000860188,"""0000860188"",",#N/A,0
862651,GISV,"Investview, Inc.",0000862651,"""0000862651"",",862651,0
862716,NQM,NUVEEN INVESTMENT QUALITY MUNICIPAL FUND INC,0000862716,"""0000862716"",",#N/A,0
864508,APPXX,Cavanal Hill Funds,0000864508,"""0000864508"",",#N/A,0
864559,CSCD,CASCADE MICROTECH INC,0000864559,"""0000864559"",",#N/A,0
865436,WFMI,WHOLE FOODS MARKET INC,0000865436,"""0000865436"",",865436,0
865752,HANS,Monster Beverage Corp,0000865752,"""0000865752"",",865752,0
866121,ATK,"ORBITAL ATK, INC.",0000866121,"""0000866121"",",866121,0
866829,CDIS,HELIX ENERGY SOLUTIONS GROUP INC,0000866829,"""0000866829"",",866829,0
868278,QGLY,"ProPhase Labs, Inc.",0000868278,"""0000868278"",",868278,0
869356,PBEQX,PIONEER EQUITY INCOME FUND,0000869356,"""0000869356"",",#N/A,0
870826,VVTV,EVINE Live Inc.,0000870826,"""0000870826"",",870826,0
872064,NQS,NUVEEN SELECT QUALITY MUNICIPAL FUND INC,0000872064,"""0000872064"",",#N/A,0
872448,ATML,ATMEL CORP,0000872448,"""0000872448"",",#N/A,0
874015,ISIS,IONIS PHARMACEUTICALS INC,0000874015,"""0000874015"",",874015,0
874501,ABK,AMBAC FINANCIAL GROUP INC,0000874501,"""0000874501"",",874501,0
875352,DPGIX,DELAWARE POOLED TRUST,0000875352,"""0000875352"",",#N/A,0
875582,NTI,NORTHERN TECHNOLOGIES INTERNATIONAL CORP,0000875582,"""0000875582"",",875582,0
878560,SPF,"CalAtlantic Group, Inc.",0000878560,"""0000878560"",",#N/A,0
879682,PLCSF,"VIVEVE MEDICAL, INC.",0000879682,"""0000879682"",",879682,0
880116,GBFP,Southeastern Bank Financial CORP,0000880116,"""0000880116"",",880116,0
880845,NPF,NUVEEN PREMIER MUNICIPAL INCOME FUND INC,0000880845,"""0000880845"",",#N/A,0
880943,SGL,STRATEGIC GLOBAL INCOME FUND INC,0000880943,"""0000880943"",",#N/A,0
881790,HFFC,HF FINANCIAL CORP,0000881790,"""0000881790"",",#N/A,0
882154,POWR,"POWERSECURE INTERNATIONAL, INC.",0000882154,"""0000882154"",",#N/A,0
884217,MW,TAILORED BRANDS INC,0000884217,"""0000884217"",",884217,0
885322,ABCW,ANCHOR BANCORP WISCONSIN INC,0000885322,"""0000885322"",",#N/A,0
885462,DSFX,"GULF RESOURCES, INC.",0000885462,"""0000885462"",",885462,0
885734,NPM,NUVEEN PREMIUM INCOME MUNICIPAL FUND 2 INC,0000885734,"""0000885734"",",#N/A,0
887247,CLGY,Adamis Pharmaceuticals Corp,0000887247,"""0000887247"",",887247,0
890447,WDWT,Vertex Energy Inc.,0000890447,"""0000890447"",",890447,0
890821,SPZR,"AMERI Holdings, Inc.",0000890821,"""0000890821"",",890821,0
891103,IACI,IAC/INTERACTIVECORP,0000891103,"""0000891103"",",891103,0
892553,CIDI,CHART INDUSTRIES INC,0000892553,"""0000892553"",",892553,0
893847,EXJF,"HAWTHORN BANCSHARES, INC.",0000893847,"""0000893847"",",893847,0
893949,PDX,"MEDNAX, INC.",0000893949,"""0000893949"",",893949,0
894237,VSCI,COGENTIX MEDICAL INC /DE/,0000894237,"""0000894237"",",894237,0
894405,ABFS,ARCBEST CORP /DE/,0000894405,"""0000894405"",",894405,0
895655,JAH,JARDEN CORP,0000895655,"""0000895655"",",#N/A,0
896159,ACE,Chubb Ltd,0000896159,"""0000896159"",",#N/A,0
897078,FSTWC,"Textmunication Holdings, Inc.",0000897078,"""0000897078"",",897078,0
897111,HTCSX,EAGLE SERIES TRUST,0000897111,"""0000897111"",",#N/A,0
903129,ARGN,GENTHERM Inc,0000903129,"""0000903129"",",903129,0
907654,NUVO,"ARCA biopharma, Inc.",0000907654,"""0000907654"",",907654,0
908259,OXGN,OXIGENE INC,0000908259,"""0000908259"",",908259,0
908996,PBREX,PIONEER REAL ESTATE SHARES,0000908996,"""0000908996"",",#N/A,0
909226,TCWF,TEMPLETON CHINA WORLD FUND,0000909226,"""0000909226"",",#N/A,0
909281,NBP,ONEOK Partners LP,0000909281,"""0000909281"",",909281,0
909954,GMCR,"KEURIG GREEN MOUNTAIN, INC.",0000909954,"""0000909954"",",#N/A,0
912093,JDSU,VIAVI SOLUTIONS INC.,0000912093,"""0000912093"",",912093,0
912766,SLVN,"LAUREATE EDUCATION, INC.",0000912766,"""0000912766"",",#N/A,0
913077,AFFX,AFFYMETRIX INC,0000913077,"""0000913077"",",#N/A,0
913277,CLRS,"Black Diamond, Inc.",0000913277,"""0000913277"",",913277,0
913662,ETF,"ABERDEEN EMERGING MARKETS SMALLER Co OPPORTUNITIES FUND, INC.",0000913662,"""0000913662"",",#N/A,0
